;rv5_ss;rsv_ss;medrv;close_price;rv5;open_price;rv10_ss;nobs;open_to_close;close_time;rk_th2;rk_parzen;rv10;bv_ss;rk_twoscale;rsv;bv;open_time
2013-11-06;2.5334088708070747e-05;7.933105387035548e-06;9.7187710136425e-06;8224.58;2.5334088708070744e-05;8180.92;2.983944857437826e-05;12649.0;0.005322617789751405;173146.0;3.2033205459721315e-05;3.315833899905897e-05;2.9839448574378265e-05;2.244445173624629e-05;3.1298690977598345e-05;7.933105387035548e-06;2.2444451736246294e-05;90215.0
2013-11-07;5.181689288912871e-05;1.9072008688611265e-05;1.9323975658786822e-05;8229.23;5.181689288912871e-05;8225.06;6.611738368322274e-05;27739.0;0.0005068587084924303;173214.0;6.320879603229846e-05;5.174000273405572e-05;6.611738368322273e-05;4.8023457383755e-05;6.476496963541233e-05;1.9072008688611262e-05;4.8023457383755e-05;90215.0
2013-11-08;4.119537407660082e-05;1.362535355218159e-05;1.5315794054425184e-05;8240.92;4.119537407660082e-05;8204.05;4.321833702067133e-05;23559.0;0.004484053394797627;173201.0;5.4629181548731454e-05;3.209577521725493e-05;4.321833702067133e-05;3.6904249311025896e-05;5.2125521187372075e-05;1.3625353552181588e-05;3.6904249311025896e-05;90215.0
2013-11-11;2.0383290756314486e-05;1.2326338824242804e-05;1.0255300769721553e-05;8280.2;2.0383290756314483e-05;8289.26;1.480083641012422e-05;23079.0;-0.0010935782943928274;173200.0;2.7254515415189116e-05;1.3392848449573846e-05;1.480083641012422e-05;1.991166922027341e-05;2.6063254092458287e-05;1.2326338824242802e-05;1.9911669220273415e-05;90215.0
2013-11-12;3.801545451358413e-05;1.4404252074411205e-05;1.0846731818044136e-05;8262.5;3.801545451358413e-05;8255.26;2.9890119453574606e-05;22012.0;0.0008766322387128156;173214.0;3.840187861368738e-05;4.290553406154879e-05;2.9890119453574602e-05;4.1771090521754714e-05;3.717861646540823e-05;1.4404252074411203e-05;4.1771090521754714e-05;90215.0
2013-11-13;3.1397747680723776e-05;1.4176010220365562e-05;1.80947515372569e-05;8234.72;3.1397747680723776e-05;8250.44;2.9150659576868583e-05;22018.0;-0.0019071704205320117;173213.0;3.6393218016733216e-05;2.4860198294220947e-05;2.915065957686858e-05;2.7222874668030446e-05;3.589847234978151e-05;1.417601022036556e-05;2.7222874668030442e-05;90215.0
2013-11-14;2.2759457726974572e-05;1.2147358602955921e-05;1.2246292395821572e-05;8304.97;2.2759457726974572e-05;8311.67;1.7065031067914392e-05;20936.0;-0.0008064205956301862;173201.0;3.143809693529254e-05;1.3021511782545457e-05;1.7065031067914392e-05;2.1107571056390583e-05;2.8543494629546154e-05;1.214735860295592e-05;2.1107571056390583e-05;90215.0
2013-11-15;1.965427379645035e-05;9.158536069010433e-06;1.1004756616109043e-05;8327.31;1.9654273796450347e-05;8325.11;1.4714541299789089e-05;20405.0;0.0002642258618017479;173206.0;2.2739607557504957e-05;1.0003953899027393e-05;1.4714541299789089e-05;2.0060129227072813e-05;2.1407121450101346e-05;9.158536069010433e-06;2.0060129227072813e-05;90215.0
2013-11-18;2.5318837704989073e-05;1.1620934764313587e-05;1.068458678078768e-05;8351.38;2.531883770498907e-05;8322.34;1.9504199226691834e-05;22058.0;0.003483329378600075;173200.0;2.9595361185657812e-05;2.3587956069512123e-05;1.950419922669183e-05;2.8286375141592832e-05;2.841460581470285e-05;1.1620934764313585e-05;2.8286375141592832e-05;90215.0
2013-11-19;2.021853931078791e-05;1.1631657887187813e-05;7.648526708664919e-06;8300.12;2.021853931078791e-05;8316.53;1.783286260898935e-05;20560.0;-0.0019751279993016624;173200.0;2.660264579937522e-05;1.6378053042930564e-05;1.783286260898935e-05;1.80081616638678e-05;2.5833449035576004e-05;1.1631657887187811e-05;1.80081616638678e-05;90215.0
2013-11-20;4.321918402482979e-05;1.8118069785951596e-05;9.795901690997535e-06;8281.21;4.321918402482979e-05;8277.59;4.696490799564361e-05;21605.0;0.0004372297579120499;173149.0;3.376553441077728e-05;3.84153147358058e-05;4.696490799564361e-05;3.30117301138351e-05;3.393081511844211e-05;1.8118069785951596e-05;3.30117301138351e-05;90215.0
2013-11-21;3.2243930815872015e-05;1.34329064695287e-05;1.8078285691947478e-05;8269.12;3.224393081587201e-05;8234.79;2.493624991342081e-05;21005.0;0.00416023227392337;173201.0;3.208945224787456e-05;2.3955349055136497e-05;2.4936249913420812e-05;3.3226675125073274e-05;3.1470381791994506e-05;1.34329064695287e-05;3.322667512507326e-05;90215.0
2013-11-22;3.397076391835159e-05;1.7606556149360628e-05;1.0856069671267657e-05;8250.43;3.397076391835159e-05;8315.54;3.487736115742911e-05;20896.0;-0.007860733210069526;173155.0;3.545376288360711e-05;2.548549454650255e-05;3.4877361157429116e-05;3.070272469277386e-05;3.388910943263601e-05;1.7606556149360628e-05;3.070272469277386e-05;90215.0
2013-11-25;1.549446341861771e-05;5.795540030162692e-06;6.892922244853172e-06;8307.66;1.549446341861771e-05;8278.35;1.4762779922896587e-05;19887.0;0.0035343075893568;173212.0;2.3698021388852575e-05;9.641119113488297e-06;1.4762779922896585e-05;1.4881958600871198e-05;2.2342728483216456e-05;5.795540030162691e-06;1.4881958600871198e-05;90215.0
2013-11-26;3.204779334268064e-05;2.2146982069393256e-05;1.4842831245344168e-05;8238.92;3.204779334268064e-05;8281.32;2.7268820225108486e-05;19410.0;-0.00513310861090055;173201.0;3.5049425147656205e-05;2.5738392987454634e-05;2.7268820225108486e-05;2.065529442131886e-05;3.4112365253044906e-05;2.2146982069393253e-05;2.065529442131886e-05;90215.0
2013-11-27;2.588488570206572e-05;1.6479844047712246e-05;1.1765197200144328e-05;8247.61;2.588488570206572e-05;8251.72;1.9113741834322278e-05;19267.0;-0.0004982020585089231;173203.0;3.057301824646137e-05;2.0574308439358164e-05;1.9113741834322274e-05;1.5994499766321798e-05;2.9789315854304512e-05;1.6479844047712246e-05;1.5994499766321798e-05;90215.0
2013-11-28;1.2078834453242793e-05;5.411772705078004e-06;5.961746335766267e-06;8257.61;1.2078834453242793e-05;8244.28;9.306007929675148e-06;17762.0;0.0016155728706674921;173148.0;2.0123091392400843e-05;7.0944568007848205e-06;9.306007929675148e-06;1.2157078681128033e-05;1.8377394594696328e-05;5.411772705078004e-06;1.2157078681128035e-05;90215.0
2013-11-29;2.252108866176998e-05;1.0756264475089202e-05;9.385409956703266e-06;8264.2;2.252108866176998e-05;8247.54;1.8320989439998803e-05;16004.0;0.0020179588163955486;173201.0;2.2286768856050305e-05;1.2091868158620439e-05;1.8320989439998803e-05;1.956434767586908e-05;2.169169839633552e-05;1.0756264475089202e-05;1.956434767586908e-05;90215.0
2013-12-02;3.386729886116816e-05;2.045596612825107e-05;1.1762839055545275e-05;8257.32;3.386729886116816e-05;8263.6;3.380433452595398e-05;18780.0;-0.0007602482552400147;173200.0;3.392276804268323e-05;3.227654522978951e-05;3.380433452595397e-05;2.4185253438332186e-05;3.373295251579963e-05;2.045596612825107e-05;2.4185253438332186e-05;90215.0
2013-12-03;2.819090849959756e-05;2.0722417837719085e-05;2.1845295627494515e-05;8109.89;2.819090849959756e-05;8246.17;3.335728579259054e-05;23117.0;-0.016664545594982982;173104.0;3.303176035169741e-05;3.594032764356201e-05;3.335728579259054e-05;2.836114905742763e-05;3.23873021433767e-05;2.0722417837719085e-05;2.8361149057427627e-05;90215.0
2013-12-04;4.576643497295191e-05;2.4376100605956913e-05;1.3725961554037412e-05;8045.54;4.576643497295191e-05;8075.74;4.144663405049732e-05;24026.0;-0.003746605148792881;173200.0;4.829657735368376e-05;4.949461829157462e-05;4.144663405049731e-05;3.420078782597605e-05;4.677992531329758e-05;2.437610060595691e-05;3.420078782597605e-05;90215.0
2013-12-05;4.505401544213149e-05;2.2292698413273882e-05;1.7589863494748127e-05;8025.59;4.505401544213149e-05;8012.65;3.741674007514793e-05;21553.0;0.0016136437424325578;173201.0;4.843312651529533e-05;3.156826297770433e-05;3.741674007514792e-05;4.35303278993618e-05;4.5918209935168726e-05;2.2292698413273882e-05;4.35303278993618e-05;90215.0
2013-12-06;4.1771661955149864e-05;1.5304487505605543e-05;1.3820487946251256e-05;8066.07;4.177166195514986e-05;8047.91;3.918033036222545e-05;23038.0;0.0022539444244245033;173148.0;5.904243881444453e-05;4.194887724090921e-05;3.9180330362225444e-05;2.8919361521761124e-05;5.736730371962622e-05;1.530448750560554e-05;2.8919361521761124e-05;90215.0
2013-12-09;1.6698143150306874e-05;9.855286907142407e-06;7.358837619805174e-06;8056.33;1.6698143150306874e-05;8075.63;1.870327393825517e-05;19104.0;-0.002392766806792679;173102.0;3.100282438332683e-05;1.3357813349938132e-05;1.8703273938255167e-05;1.3885081353645727e-05;2.9955479843544338e-05;9.855286907142407e-06;1.388508135364573e-05;90215.0
2013-12-10;4.297052714935382e-05;2.812613764081915e-05;1.6788789999210996e-05;7971.84;4.2970527149353815e-05;8028.03;2.579057928535207e-05;21262.0;-0.007023835944607981;173201.0;3.951437332805349e-05;2.9103025463721415e-05;2.5790579285352067e-05;3.724205388497631e-05;3.848388014851536e-05;2.8126137640819147e-05;3.724205388497631e-05;90215.0
2013-12-11;4.0311328994009126e-05;1.9021458225068668e-05;1.807343810596928e-05;7956.32;4.031132899400912e-05;7935.78;4.164283637048122e-05;21109.0;0.002584933575445092;173150.0;3.611422871059668e-05;4.8405551564284475e-05;4.1642836370481205e-05;3.959639794482331e-05;3.537222801805368e-05;1.9021458225068664e-05;3.959639794482331e-05;90215.0
2013-12-12;5.5883119606028607e-05;3.685203528478225e-05;2.25241188783684e-05;7849.62;5.5883119606028607e-05;7931.63;5.289984558924312e-05;23421.0;-0.010393440095040063;173128.0;4.985031991183504e-05;6.924235720122412e-05;5.289984558924311e-05;4.7999391279026126e-05;5.126753928151764e-05;3.685203528478225e-05;4.799939127902613e-05;90215.0
2013-12-13;2.086611368947289e-05;1.248090910839469e-05;7.85800460626668e-06;7828.91;2.086611368947289e-05;7848.18;2.0685229839278766e-05;12505.0;-0.002458365641192728;182600.0;2.9177776786517815e-05;1.8220054433097215e-05;2.0685229839278766e-05;1.697564505405451e-05;2.8460371068433947e-05;1.248090910839469e-05;1.697564505405451e-05;100527.0
2013-12-16;6.158419924393542e-05;3.0212059981716813e-05;1.5666003577220845e-05;7856.27;6.158419924393542e-05;7809.11;7.062252275588448e-05;22015.0;0.006020938205020698;173201.0;4.754543966679696e-05;6.815474781018807e-05;7.062252275588448e-05;4.0285991041576574e-05;4.825093387166276e-05;3.021205998171681e-05;4.028599104157658e-05;90215.0
2013-12-17;3.4273670208164616e-05;2.0753279740447013e-05;1.8036098018710954e-05;7830.98;3.4273670208164616e-05;7857.49;2.8625926110172557e-05;21253.0;-0.0033795552060542633;173050.0;4.0698316706878404e-05;2.2898705479188953e-05;2.862592611017256e-05;2.735307452726691e-05;3.8426579420255876e-05;2.075327974044701e-05;2.7353074527266917e-05;90215.0
2013-12-18;2.6002349255054655e-05;1.320879820731629e-05;1.5068826135014148e-05;7888.12;2.6002349255054652e-05;7887.11;2.385401505846154e-05;22528.0;0.00012804884637240832;173212.0;4.116320420301276e-05;1.6658848944276455e-05;2.3854015058461536e-05;2.4295804484709376e-05;3.925631653060964e-05;1.320879820731629e-05;2.4295804484709376e-05;90215.0
2013-12-19;3.751746909606552e-05;1.2640286720683933e-05;1.3074563684396495e-05;8028.27;3.751746909606551e-05;7970.9;4.187867938092193e-05;26128.0;0.007171652765798342;173201.0;4.219423631430268e-05;3.673673668529515e-05;4.1878679380921916e-05;3.0037900922765224e-05;4.066438783605319e-05;1.2640286720683931e-05;3.003790092276522e-05;90215.0
2013-12-20;2.6482212321149555e-05;1.3676821510002361e-05;1.3933602028560352e-05;8081.35;2.6482212321149552e-05;8086.41;2.4122022155034162e-05;24084.0;-0.0006259370704686518;173200.0;3.243794338558074e-05;1.962909846786056e-05;2.4122022155034155e-05;2.384372508029069e-05;3.072066478370152e-05;1.367682151000236e-05;2.3843725080290692e-05;90215.0
2013-12-23;1.8683074215847996e-05;9.862953716753468e-06;9.905516695306177e-06;8107.1;1.8683074215847993e-05;8084.59;1.819024024151327e-05;18288.0;0.0027804403989666326;173118.0;2.854212160265608e-05;1.5698222149587142e-05;1.8190240241513268e-05;1.6892987255906546e-05;2.8075066482597556e-05;9.862953716753466e-06;1.6892987255906546e-05;90215.0
2013-12-27;1.6672313449801205e-05;5.30266593603233e-06;8.89335825087345e-06;8221.9;1.6672313449801202e-05;8174.21;1.6106397882624822e-05;17115.0;0.005817249882722919;173156.0;2.110252120363862e-05;1.389221538395587e-05;1.6106397882624822e-05;1.3892540357056367e-05;1.9959423116941132e-05;5.30266593603233e-06;1.3892540357056367e-05;90215.0
2013-12-30;5.8520682855863124e-05;4.123722011874308e-05;1.3775086600714746e-05;8202.12;5.8520682855863124e-05;8215.21;4.014630075124733e-05;17389.0;-0.0015946567162767877;173206.0;4.2035062991855553e-05;4.63421488121952e-05;4.0146300751247316e-05;3.942695387193663e-05;4.2455202711499394e-05;4.123722011874308e-05;3.942695387193663e-05;90215.0
2014-01-03;4.206377639055805e-05;1.4447234794966441e-05;2.005739818885518e-05;8270.46;4.206377639055805e-05;8178.92;5.236543886141608e-05;22065.0;0.011130017663319336;173200.0;3.808967043494951e-05;5.524878310528086e-05;5.2365438861416064e-05;4.532184697411037e-05;3.780377514865406e-05;1.4447234794966441e-05;4.532184697411037e-05;90215.0
2014-01-06;4.289336818016283e-05;1.7582638688803646e-05;1.0896151312466478e-05;8272.23;4.289336818016283e-05;8262.65;2.2681834981076104e-05;20824.0;0.0011587626970310794;173112.0;4.776295734618286e-05;1.9778541163032042e-05;2.2681834981076108e-05;3.7610499947907584e-05;4.545173304721519e-05;1.7582638688803643e-05;3.7610499947907584e-05;90215.0
2014-01-07;2.350578652559551e-05;1.3039071884004032e-05;6.278325755683893e-06;8319.4;2.350578652559551e-05;8290.96;1.6511382122958894e-05;21946.0;0.00342437223412162;173203.0;2.6906429863928185e-05;2.0660242390924507e-05;1.651138212295889e-05;2.2220000364993047e-05;2.590305045491806e-05;1.303907188400403e-05;2.2220000364993047e-05;90215.0
